196 Albany,No Wait Time
4101 White Plains Road,No Wait Time
57 Cleveland Place,Not Reported Yet
Bathgate Contract Post...,Not Reported Yet
Bay Ridge 5th Avenue,Not Reported Yet
Beach 39th,< 60 Minutes
Bellevue Hospital Center,Not Reported Yet
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,< 30 Minutes
Brooklyn Army Terminal,Not Reported Yet
Canarsie Municipal Lot,Not Reported Yet
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,Not Reported Yet
Coney Island Hospital ...,< 30 Minutes
CU Jonathan Williams C...,Not Reported Yet
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,Not Reported Yet
Elmhurst Hospital Center,< 30 Minutes
EY East New York DTC,Not Reported Yet
Fort Hamilton,< 30 Minutes
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,No Wait Time
Harlem Hospital Center,Not Reported Yet
Highbridge Pool,Not Reported Yet
Jacobi Medical Center,Not Reported Yet
JFK Airport,Not Reported Yet
Kew Gardens,Not Reported Yet
Kings County Hospital ...,Not Reported Yet
LaGuardia Airport,Not Reported Yet
Leﬀerts,Not Reported Yet
Lincoln Medical Center,Not Reported Yet
Mariners Harbor Library,No Wait Time
Metropolitan Hospital ...,< 30 Minutes
Midwood,< 30 Minutes
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,Not Reported Yet
Northern Boulevard,Not Reported Yet
Old Broadway,Not Reported Yet
Queens Hospital Center,< 60 Minutes
Rain Boston Road Senio...,Not Reported Yet
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,Not Reported Yet
St. George Ferry Termi...,< 90 Minutes
St. James Recreaonal...,< 60 Minutes
Starret City,Not Reported Yet
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,< 30 Minutes
Woodhull Medical Center,Not Reported Yet
